"Scheme-Id	Agency-Id	Version	Schlüssel	Wert	Sprache	Beschreibung";;;;;;AGS_Brandenburg;;;Brandenburg
"Gemeindeschluessel	de.inno	1	43	105103900	de	Gudendorf";;;;;;" 	1	43	105103900	de	Gudendorf";;;
"Gemeindeschluessel	de.inno	1	44	105104000	de	Hägen";;;;;;" 	1	44	105104000	de	Hägen";;;
"Gemeindeschluessel	de.inno	1	45	105104300	de	Hedwigenkoog";;;;;;" 	1	45	105104300	de	Hedwigenkoog";;;
"Gemeindeschluessel	de.inno	1	46	105104400	de	Heide, Stadt";;;;;;" 	1	46	105104400	de	Heide, Stadt";;;
"Gemeindeschluessel	de.inno	1	47	105104500	de	Hellschen-Heringsand-Unterschaar";;;;;;" 	1	47	105104500	de	Hellschen-Heringsand-Unterschaar";;;
"Gemeindeschluessel	de.inno	1	48	105104600	de	Helse";;;;;;" 	1	48	105104600	de	Helse";;;
"Gemeindeschluessel	de.inno	1	49	105104700	de	Hemme";;;;;;" 	1	49	105104700	de	Hemme";;;
"Gemeindeschluessel	de.inno	1	50	105104800	de	Hemmingstedt";;;;;;" 	1	50	105104800	de	Hemmingstedt";;;
"Gemeindeschluessel	de.inno	1	51	105104900	de	Hennstedt";;;;;;" 	1	51	105104900	de	Hennstedt";;;
"Gemeindeschluessel	de.inno	1	52	105105000	de	Hillgroven";;;;;;" 	1	52	105105000	de	Hillgroven";;;
"Gemeindeschluessel	de.inno	1	53	105105100	de	Hochdonn";;;;;;" 	1	53	105105100	de	Hochdonn";;;
"Gemeindeschluessel	de.inno	1	54	105105200	de	Hövede";;;;;;" 	1	54	105105200	de	Hövede";;;
"Gemeindeschluessel	de.inno	1	55	105105300	de	Hollingstedt";;;;;;" 	1	55	105105300	de	Hollingstedt";;;
"Gemeindeschluessel	de.inno	1	56	105105400	de	Immenstedt";;;;;;" 	1	56	105105400	de	Immenstedt";;;
"Gemeindeschluessel	de.inno	1	57	105105700	de	Kaiser-Wilhelm-Koog";;;;;;" 	1	57	105105700	de	Kaiser-Wilhelm-Koog";;;
"Gemeindeschluessel	de.inno	1	58	105105800	de	Karolinenkoog";;;;;;" 	1	58	105105800	de	Karolinenkoog";;;
"Gemeindeschluessel	de.inno	1	59	105106000	de	Kleve";;;;;;" 	1	59	105106000	de	Kleve";;;
"Gemeindeschluessel	de.inno	1	60	105106100	de	Krempel";;;;;;" 	1	60	105106100	de	Krempel";;;
