Scheme-Id	Agency-Id	Version	Schlüssel	Wert	Sprache	Beschreibung
Branchenschluessel	de.ilb	1	59	25.29.0	de	Abfalltonnen aus Stahl und Leichtmetall mit einem Fassungsvermögen von mehr als 300 l, H.
Branchenschluessel	de.ilb	1	60	46.15.4	de	Abfalltonnen aus Stahl und Leichtmetall, V.
Branchenschluessel	de.ilb	1	61	38.12.0	de	Abfalltransport und -ablagerung (gefährliche Abfälle)
Branchenschluessel	de.ilb	1	62	38.11.0	de	Abfalltransport und -ablagerung (nicht gefährliche Abfälle)
Branchenschluessel	de.ilb	1	63	38.22.0	de	Abfallverbrennungsanlagen für gefährliche Abfälle
Branchenschluessel	de.ilb	1	64	38.21.0	de	Abfallverbrennungsanlagen für ungefährliche Abfälle
Branchenschluessel	de.ilb	1	65	46.69.2	de	Abfallverbrennungsöfen, Gh.
Branchenschluessel	de.ilb	1	66	28.21.9	de	Abfallverbrennungsöfen, H.
Branchenschluessel	de.ilb	1	67	46.14.1	de	Abfallverbrennungsöfen, V.
Branchenschluessel	de.ilb	1	68	47.54.0	de	Abfallzerkleinerer für den Haushalt, elektrische, Eh.
Branchenschluessel	de.ilb	1	69	46.43.2	de	Abfallzerkleinerer für den Haushalt, elektrische, Gh.
Branchenschluessel	de.ilb	1	70	27.51.0	de	Abfallzerkleinerer für den Haushalt, elektrische, H.
Branchenschluessel	de.ilb	1	71	46.15.3	de	Abfallzerkleinerer für den Haushalt, elektrische, V.
Branchenschluessel	de.ilb	1	72	38.22.0	de	Abfallzerkleinerung von gefährlichen Abfällen
Branchenschluessel	de.ilb	1	73	38.21.0	de	Abfallzerkleinerung von nicht gefährlichen Abfällen
Branchenschluessel	de.ilb	1	74	52.21.5	de	Abfertigungseinrichtungen für den Landverkehr
Branchenschluessel	de.ilb	1	75	52.23.1	de	Abfertigungseinrichtungen für den Luftverkehr (Flughafenbetriebe)
Branchenschluessel	de.ilb	1	76	52.22.2	de	Abfertigungseinrichtungen für die Binnenschifffahrt
Branchenschluessel	de.ilb	1	77	52.22.2	de	Abfertigungseinrichtungen für die Seeschifffahrt
Branchenschluessel	de.ilb	1	78	52.29.1	de	Abfertigungsspeditionen (nicht Güterbeförderung)
Branchenschluessel	de.ilb	1	79	81.22.9	de	Abflussreinigung (nicht Kanalreinigung)
Branchenschluessel	de.ilb	1	80	81.22.9	de	Abflussreinigung in Bauwerken (nicht Kanalreinigung)
Branchenschluessel	de.ilb	1	81	82.91.1	de	Abführen von LKW-Maut an BMF
Branchenschluessel	de.ilb	1	82	82.92.0	de	Abfüll- und Verpackungsgewerbe (nicht Verpackungstätigkeiten im Verkehrsgewerbe)
Branchenschluessel	de.ilb	1	83	82.92.0	de	Abfüllen von Kohlensäure
Branchenschluessel	de.ilb	1	84	46.69.2	de	Abfüllmaschinen, Gh.
Branchenschluessel	de.ilb	1	85	28.29.0	de	Abfüllmaschinen, H.
Branchenschluessel	de.ilb	1	86	46.14.1	de	Abfüllmaschinen, V.
Branchenschluessel	de.ilb	1	87	47.78.9	de	Abfüllstelle für Propangas, Eh.
Branchenschluessel	de.ilb	1	88	46.71.2	de	Abfüllstelle für Propangas, Gh.
Branchenschluessel	de.ilb	1	89	11.07.0	de	Abfüllung von natürlichen Mineralwässern, Tafelwässern, kohlensäurehaltigen Wässern
Branchenschluessel	de.ilb	1	90	46.69.2	de	Abfüllwaagen (nicht Laborwaagen), Gh.
Branchenschluessel	de.ilb	1	91	28.29.0	de	Abfüllwaagen (nicht Laborwaagen), H.
Branchenschluessel	de.ilb	1	92	46.14.1	de	Abfüllwaagen (nicht Laborwaagen), V.
Branchenschluessel	de.ilb	1	93	56.10.3	de	Abgabe von Speisen und Getränken im Ladengeschäft zum Verzehr an Ort und Stelle oder zum Mitnehmen
Branchenschluessel	de.ilb	1	94	56.10.3	de	Abgabe von Speisen und Getränken im Omnibus zum Verzehr an Ort und Stelle
Branchenschluessel	de.ilb	1	95	13.10.0	de	Abgänge und Reststoffe, verspinnbare, aus Wolle, Aufbereitung und Bearbeitung
Branchenschluessel	de.ilb	1	96	46.76.0	de	Abgänge und Reststoffe, verspinnbare, aus Wolle, Aufbereitung und Bearbeitung, Gh.
Branchenschluessel	de.ilb	1	97	28.25.0	de	Abgasanlagen, H.
Branchenschluessel	de.ilb	1	98	29.32.0	de	Abgasreinigungssysteme (Katalysatoren) für Kraftfahrzeuge (nicht Katalysatoren in Form von Geweben oder Gittern aus Platin), H.
Branchenschluessel	de.ilb	1	99	45.32.0	de	Abgasreinigungssysteme (Katalysatoren) für Kraftwagen (nicht Katalysatoren in Form von Geweben oder Gittern aus Platin), Eh.
Branchenschluessel	de.ilb	1	100	45.31.0	de	Abgasreinigungssysteme (Katalysatoren) für Kraftwagen (nicht Katalysatoren in Form von Geweben oder Gittern aus Platin), Gh.
Branchenschluessel	de.ilb	1	101	71.20.0	de	Abgasuntersuchungen an Kraftfahrzeugen
Branchenschluessel	de.ilb	1	102	84.11.0	de	Abgeordnetenbüros
Branchenschluessel	de.ilb	1	103	10.11.0	de	Abhäuterei
Branchenschluessel	de.ilb	1	104	47.52.1	de	Abkantmaschinen für die Metallbearbeitung, Eh.
Branchenschluessel	de.ilb	1	105	46.62.0	de	Abkantmaschinen für die Metallbearbeitung, Gh.
Branchenschluessel	de.ilb	1	106	28.41.0	de	Abkantmaschinen für die Metallbearbeitung, H.
Branchenschluessel	de.ilb	1	107	46.14.1	de	Abkantmaschinen für die Metallbearbeitung, V.
Branchenschluessel	de.ilb	1	108	47.52.1	de	Ablaufarmaturen (Sanitärarmaturen), Eh.
Branchenschluessel	de.ilb	1	109	46.74.2	de	Ablaufarmaturen (Sanitärarmaturen), Gh.
Branchenschluessel	de.ilb	1	110	46.14.7	de	Ablaufarmaturen (Sanitärarmaturen), V.
Branchenschluessel	de.ilb	1	111	28.14.0	de	Ablaufarmaturen (Sanitärarmaturen; nicht aus Gummi, Glas oder Keramik), H.
Branchenschluessel	de.ilb	1	112	47.52.3	de	Ablaugen aus der Zellstoffherstellung, Eh.
Branchenschluessel	de.ilb	1	113	20.14.0	de	Ablaugen aus der Zellstoffherstellung, Gew.
Branchenschluessel	de.ilb	1	114	43.34.1	de	Ablaugerei (Abbeizen von Möbeln)
Branchenschluessel	de.ilb	1	115	28.14.0	de	Ableiter (industrielle, Sanitär- und Heizungsarmaturen; nicht aus Gummi, Glas oder Keramik), H.
Branchenschluessel	de.ilb	1	116	47.52.1	de	Ableiter (Sanitär- und Heizungsarmaturen), Eh.
Branchenschluessel	de.ilb	1	117	46.74.2	de	Ableiter (Sanitär- und Heizungsarmaturen), Gh.
Branchenschluessel	de.ilb	1	118	46.14.7	de	Ableiter (Sanitär- und Heizungsarmaturen), V.
Branchenschluessel	de.ilb	1	119	37.00.1	de	Ableitung von Abwässern (Sammelkanalisation)
Branchenschluessel	de.ilb	1	120	82.99.9	de	Ablesen und Erstellen von Verbrauchsabrechnungen für Gaszähler im Rahmen der Gasgewinnung und -erzeugung mit Fremdbezug zur Verteilung
Branchenschluessel	de.ilb	1	121	82.99.9	de	Ablesen und Erstellen von Verbrauchsabrechnungen für Gaszähler im Rahmen der Gasverteilung ohne Gewinnung und Erzeugung
Branchenschluessel	de.ilb	1	122	82.99.9	de	Ablesen und Erstellen von Verbrauchsabrechnungen für Heizungsverbrauchsmesser
Branchenschluessel	de.ilb	1	123	82.99.9	de	Ablesen und Erstellen von Verbrauchsabrechnungen für Kaltwasserzähler im Rahmen der Wasserversorgung mit Fremdbezug zur Verteilung
Branchenschluessel	de.ilb	1	124	82.99.9	de	Ablesen und Erstellen von Verbrauchsabrechnungen für Kaltwasserzähler im Rahmen der Wasserverteilung ohne Gewinnung
Branchenschluessel	de.ilb	1	125	82.99.9	de	Ablesen und Erstellen von Verbrauchsabrechnungen für Warmwasserzähler im Rahmen der Fernwärmeerzeugung durch Fernheizwerk mit Fremdbezug zur Verteilung
Branchenschluessel	de.ilb	1	126	82.99.9	de	Ablesen und Erstellen von Verbrauchsabrechnungen für Warmwasserzähler im Rahmen der Fernwärmeerzeugung durch Heizkraftwerk mit Fremdbezug zur Verteilung
Branchenschluessel	de.ilb	1	127	82.99.9	de	Ablesen und Erstellen von Verbrauchsabrechnungen für Warmwasserzähler im Rahmen der Fernwärmeverteilung ohne Erzeugung
Branchenschluessel	de.ilb	1	128	82.99.9	de	Ablesen von Heizmessstäben (zur Ermittlung des Verbrauchs)
Branchenschluessel	de.ilb	1	129	82.99.9	de	Ablesen von Heizungsverbrauchmessern
Branchenschluessel	de.ilb	1	130	47.54.0	de	Ablufthauben für den Haushalt, elektrische, Eh.
